,,Ladder score,Social support,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,,xy,x2,y2,,(x - x?),(y - y? ),(x - x?)(y - y? ),(x - x?)2,(y - y? )2,,,,,,,,,,,
,,3.245,0.566,,,1.837,10.53,0.32,,-2.285892857,-0.568328571,1.299138222,5.225306154,0.322997365,,,,,,,,,,,
,,3.186,0.851,,,2.711,10.151,0.724,,-2.344892857,-0.283328571,0.664375143,5.498522511,0.080275079,,,,,,,,,,,
,,2.707,0.577,,,1.562,7.328,0.333,,-2.823892857,-0.557328571,1.573836172,7.974370869,0.310615137,,,,,,,,,,,
,,1.721,0,,,0,2.962,0,,-3.809892857,-1.134328571,4.321670322,14.51528358,1.286701308,,,,,,,,,,,
,TOTAL: ,774.325,158.806,,,922.863,4476.661,195.581,,0,0,44.524,193.953,15.443,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,, MODELO,,,,,,,,,,,,,,,,,,,,,,
,,,B0 =,-0.135,-0.135, --> Y = -0.135+0.23xi,,,,,,,,,,,,,,,,,,,
,,,B1 =,0.23,0.23,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Y = -0.135 + 0.23xi,,ei = yi - Y?i ,(ei)2,et - et-1,(et - et-1)2,(et-1)(et),,Yi - Y? ,(Yi - Y? )2,yi -Yi,(yi -Yi)2,,,,,,,,,,,,,
,1.64543,,-0.07343,0.005391965,,,,,0.508324643,0.258393943,0.07343,0.005391965,,,,,,,,,,,,,
,1.60909,,-0.08909,0.007937028,-0.01566,0.000245236,0.006541879,,0.471984643,0.222769503,0.08909,0.007937028,,,,,,,,,,,,,
,1.59575,,0.02125,0.000451562,0.11034,0.012174916,-0.001893162,,0.458644643,0.210354908,-0.02125,0.000451562,,,,,,,,,,,,,
,1.55412,,-0.05312,0.002821734,-0.07437,0.005530897,-0.0011288,,0.417014643,0.173901212,0.05312,0.002821734,,,,,,,,,,,,,
,1.55343,,-0.04043,0.001634585,0.01269,0.000161036,0.002147642,,0.416324643,0.173326208,0.04043,0.001634585,,,,,,,,,,,,,
,1.54837,,-0.08637,0.007459777,-0.04594,0.002110484,0.003491939,,0.411264643,0.169138606,0.08637,0.007459777,,,,,,,,,,,,,
,1.54446,,-0.02746,0.000754052,0.05891,0.003470388,0.00237172,,0.407354643,0.165937805,0.02746,0.000754052,,,,,,,,,,,,,
,1.50306,,-0.14806,0.021921764,-0.1206,0.01454436,0.004065728,,0.365954643,0.133922801,0.14806,0.021921764,,,,,,,,,,,,,
,1.4888,,-0.0638,0.00407044,0.08426,0.007099748,0.009446228,,0.351694643,0.123689122,0.0638,0.00407044,,,,,,,,,,,,,
,1.48811,,-0.02711,0.000734952,0.03669,0.001346156,0.001729618,,0.351004643,0.123204259,0.02711,0.000734952,,,,,,,,,,,,,
,1.48167,,0.04533,0.002054809,0.07244,0.005247554,-0.001228896,,0.344564643,0.118724793,-0.04533,0.002054809,,,,,,,,,,,,,
,1.46465,,-0.09165,0.008399723,-0.13698,0.01876352,-0.004154494,,0.327544643,0.107285493,0.09165,0.008399723,,,,,,,,,,,,,
,1.46373,,-0.09973,0.009946073,-0.00808,6.53E-05,0.009140254,,0.326624643,0.106683657,0.09973,0.009946073,,,,,,,,,,,,,
,1.45315,,-0.11715,0.013724123,-0.01742,0.000303456,0.01168337,,0.316044643,0.099884216,0.11715,0.013724123,,,,,,,,,,,,,
,1.452,,0.007,4.90E-05,0.12415,0.015413223,-0.00082005,,0.314894643,0.099158636,-0.007,4.90E-05,,,,,,,,,,,,,
,1.45062,,-0.01062,0.000112784,-0.01762,0.000310464,-7.43E-05,,0.313514643,0.098291431,0.01062,0.000112784,,,,,,,,,,,,,
,1.43774,,-0.04774,0.002279108,-0.03712,0.001377894,0.000506999,,0.300634643,0.090381188,0.04774,0.002279108,,,,,,,,,,,,,
,1.43406,,0.07694,0.005919764,0.12468,0.015545102,-0.003673116,,0.296954643,0.08818206,-0.07694,0.005919764,,,,,,,,,,,,,
,1.43314,,0.02086,0.00043514,-0.05608,0.003144966,0.001604968,,0.296034643,0.08763651,-0.02086,0.00043514,,,,,,,,,,,,,
,1.41727,,-0.09127,0.008330213,-0.11213,0.012573137,-0.001903892,,0.280164643,0.078492227,0.09127,0.008330213,,,,,,,,,,,,,
,1.41589,,0.08611,0.007414932,0.17738,0.031463664,-0.00785926,,0.278784643,0.077720877,-0.08611,0.007414932,,,,,,,,,,,,,
,1.41359,,-0.24959,0.062295168,-0.3357,0.11269449,-0.021492195,,0.276484643,0.076443758,0.24959,0.062295168,,,,,,,,,,,,,
,1.41175,,-0.01975,0.000390063,0.22984,0.052826426,0.004929403,,0.274644643,0.07542968,0.01975,0.000390063,,,,,,,,,,,,,
,1.41037,,-0.02037,0.000414937,-0.00062,3.84E-07,0.000402308,,0.273264643,0.074673565,0.02037,0.000414937,,,,,,,,,,,,,
,1.40094,,-0.15994,0.025580804,-0.13957,0.019479785,0.003257978,,0.263834643,0.069608719,0.15994,0.025580804,,,,,,,,,,,,,
